rank,player,time
1,"װℯⅴℴ
Broly._",43.942
2,"NLT
Novu.",44.085
3,"װℯⅴℴ
L1ngo...",44.135
4,"W.
Hendo22_",44.182
5,"AZURE
Zenitect",44.212
6,"SHIFT
Gekooo0",44.315
7,"FMBOY
spmx.",44.338
8,"☆
AR_Down",44.342
9,"||||:
jkolt52",44.345
10,"SPLIT
IamPd.",44.402
11,bakerman.xd,44.415
12,"QCTM
Mathyper59",44.442
13,"HLCYN
Trunoob.TX",44.445
14,Cheeselover2298,44.448
15,"DCENT
Kallaxtrom",44.468
16,"VOID๑
HeadMasterKill",44.478
17,"W.
Acrose17",44.482
18,"KORVE
Roeder2033",44.492
19,"WP
agrabou",44.505
20,"WLVS
FrEEzR_TM",44.518
21,"BIG
FudgeTM",44.552
22,OTF.bead,44.575
23,"BITM
Twiggy-",44.615
24,rfeyxd,44.632
25,"KKS
Spaacce",44.645
26,"CALI
ironnagol",44.658
27,Flaks..,44.672
28,Krabbish_,44.675
29,"SR
aYz_TM",44.692
30,"ACE
Obitom.",44.692
31,"BR
KazuoTM",44.692
32,"EDEN
Seys.TM",44.702
33,"CLOOB
Mystborn10154",44.705
34,"NCTM
jgamer2614",44.724
35,"WALL🔎
aBadPCGamer",44.725
36,"HLCYN
catcurlyfries13",44.755
37,"RDOT.
Tocatone",44.778
38,Abyssmu,44.818
39,Elensar_,44.822
40,WafflesAddict,44.822
41,"MFG
h3llomarcTwitch",44.822
42,"SNIFF
proBizcus",44.822
43,"QCTM
ThomBern",44.828
44,"CLOOB
NLFearAtPeace",44.842
45,Grmigrim,44.844
46,"BCTM
Cinn007",44.848
47,"QCTM
spayce-",44.848
48,"WP
Giilo.",44.865
49,"BCTM
CJbro4509",44.865
50,"MFG
LexterSUI",44.869
51,AlexVolley,44.875
52,"QCTM
Kakne..",44.898
53,"ALAMO
Sully_TM",44.912
54,"ALAMO
Knee...",44.949
55,"GOAT
Pepper_00",44.972
56,maybevenox,44.982
57,"MNTM
Draconic_Sword",44.995
58,"NEC.
frenchpigeon",45.002
59,"DOOR
SqueakyDoor",45.008
60,"ƦΟΒ
Rabbi-",45.025
61,TheGreatLeonTM,45.025
62,N0XID,45.068
63,"BCS
Astalet",45.082
64,"ALTRD
FostyTheRealB",45.084
65,"PRIDE
skycowTM",45.085
66,"E-A
HHKegn",45.115
67,"QCTM
Pat6543",45.138
68,"EVO
SHAKXYHANDS",45.148
69,vizon320,45.148
70,"
NOKER1",45.195
71,Destructor-95,45.195
72,"ONTM
bee_Rent",45.202
73,f5864,45.202
74,"CALI
bturners",45.238
75,"MFG
Jefe..",45.248
76,"[MTF]
Commander_Fort",45.268
77,osna23,45.332
78,nukewurld,45.342
79,zPinooo,45.388
80,"MOFO
Aaabbq_",45.402
81,Crispyshooter,45.415
82,"☆
mdoc_",45.415
83,"SPLIT
TIMMYS.-.",45.418
84,"KWIKY
quickflicks",45.445
85,hollist.,45.482
86,"SPLOB
Kratos_TM",45.492
87,sk8erzalan,45.499
88,"DEGEN
fenton",45.508
89,Tontinn,45.542
90,Adnibhaal,45.542
91,"FRIES
Meowwwwww420",45.545
92,SixTynN,45.548
93,"NL
DazzleAlec",45.555
94,Q-Majk,45.558
95,naito-chairudo,45.572
96,"MS»
slump__",45.618
97,"
Adman.",45.632
98,"OJI
I_HUMP_FO_FREE",45.649
99,PARTY_MAN_X,45.678
100,"VIBE
HaxOu5",45.695
101,"EXOTK
MattDTO",45.712
102,"VIBE
d00ksy",45.762
103,"HOOT
Owlette_",45.772
104,snowe..,45.805
105,"SPLIT
Topicc.",45.828
106,specrte,45.862
107,"ЯŐŌ乌Ŧ
ITZDASKULL",45.888
108,"ALTRD
RekziiTM",45.888
109,"FART
Vekisis",45.908
110,"MNTM
Kazbazerwatt",45.975
111,"MS»
KrisTM",45.988
112,"VIBE
Ascaii97",45.989
113,"CBT
Ghost4ce",45.995
114,SteveLob17,45.995
115,pitoune.,46.034
116,"HAMP
HugeDanny69",46.045
117,"BOOLC
Inconsistent_",46.055
118,"LDG々
Fireen",46.088
119,"»
MaveTM",46.099
120,"ANTI
ANARCHY_TM",46.108
121,"CLOOB
CaptainYoda8",46.128
122,Dennlinger,46.128
123,CAB1526,46.134
124,"MS»
Slidelock",46.134
125,HypaSnipa,46.145
126,shugga86,46.202
127,bino.bini,46.204
128,Rexy_M,46.205
129,thornedog,46.211
130,Rayver112,46.255
131,"LUCI
CarlosTM.BIM",46.289
132,CoolKittenmeow,46.292
133,Gramitive,46.312
134,"VIBE
JethrowRogueSZ2",46.318
135,tim888881,46.322
136,VeryGoodMoose,46.328
137,"AYAYA
JDR__wolf.",46.395
138,Lapalme.tm,46.396
139,IdeaDan,46.415
140,"
zayshaa",46.415
141,Chuerero,46.418
142,immarshii,46.434
143,ChickenSalad49,46.485
144,adrak.,46.508
145,teter2000,46.555
146,"☆
InitialBN",46.584
147,Chaussette_XII,46.592
148,Benmourak,46.605
149,oscarpercy,46.612
150,"PA
Pilot8091",46.638
151,"SLACK
micheal2022",46.647
152,theRizzlerx,46.648
153,Rex.xaR,46.671
154,yungvinny9,46.684
155,JamesWhites,46.728
156,"SISU
BushDid9-11_",46.728
157,"VIBE
XTCLegitMailman",46.729
158,"ALAMO
MAD_MAN_SLAYER",46.757
159,"FLOW~
Justen787",46.758
160,j4a2y077,46.769
161,PieceofCak,46.784
162,rodolfho7,46.785
163,LionKiller31,46.805
164,"CHAIR
manyaik.TM",46.808
165,"DUBAS
Segonho",46.825
166,"VIBE
TaeKwonBill",46.868
167,"LUCI
RaptorX__",46.888
168,"ALAMO
Nick_P.",46.892
169,"KIMI
flapi514",46.908
170,"SPLIT
bit.TM",46.938
171,"CLOOB
ForDaBrand",46.955
172,Greovhan,46.972
173,QwertyEpic,46.998
174,"ALAMO
wrstmattevr",47.002
175,Sphincterzz,47.042
176,nowym62,47.048
177,"SSG
tebow0808.",47.055
178,Crow-City,47.065
179,"FOX
Foxy_GeneTTV",47.092
180,Worst-Player-NA,47.108
181,Quiet_Wyatt,47.144
182,"TMA
Ydop_",47.152
183,Creationmate,47.164
184,"KWIKY
austman4343",47.201
185,"KACKY
KvYd0",47.204
186,"KACKY
Diiiro",47.205
187,"WOOF
MildBubbles",47.212
188,norsh44,47.214
189,MastaOfNoise,47.215
190,WiNWiESEL1973,47.222
191,"shit
xNolan",47.239
192,Rysikik,47.245
193,"SPEED
VerSTOMPen",47.248
194,runhastypls,47.285
195,shrmoothie,47.298
196,luxuryxcoffin,47.405
197,supazoomzoom,47.408
198,"[MTF]
MachoMan-co",47.412
199,WHY__22,47.431
200,BuhMann17,47.432
201,"SHRKS
PilarCello25001",47.445
202,MaroonMatress,47.477
203,CachoTM,47.485
204,McMurkington,47.492
205,BrOsTiNi_,47.498
206,"MLCM
SFShallow",47.518
207,Ozmynd,47.521
208,JohnnySal,47.542
209,viddafcp,47.542
210,zigounho,47.553
211,Vieri103,47.565
212,"MLCM
Brandon_S90",47.579
213,Arntislow,47.605
214,Aquar_man,47.608
215,ICY-B3RRYYYY,47.628
216,sClever.SD,47.632
217,Bean_TM,47.634
218,ntp488,47.665
219,cmscherb2,47.674
220,Yaboihello.,47.724
221,"VIBE
Kon28_",47.732
222,sanicstudios,47.753
223,"GLO
MxrcelTM",47.782
224,"AYAYA
ASXCETM",47.784
225,VexaTM,47.802
226,Donut_Whole,47.804
227,"DOOM
JunesGo",47.825
228,Schnook.,47.879
229,"VIBE
Aslunga",47.902
230,DevinC444,47.914
231,Breyer8812,47.914
232,DFLynxs,47.919
233,"VIBE
hey..........",47.924
234,BoopyBrando,47.929
235,Ishkawaii,47.932
236,"VIBE
Just_Deep",47.952
237,devilssK,47.965
238,PlinyTM,48.022
239,"TÖFLI
AthosTM",48.072
240,Bo0o0o0M,48.082
241,Hannoitwist,48.084
242,"T.TV
Moonub",48.088
243,LuminHardt,48.132
244,"VIBE
BunBun5321",48.144
245,johnnylyster22,48.165
246,"TIBIA
Bestexkon",48.168
247,reklrekl,48.177
248,"ESPAR
Velhenn",48.179
249,acschultz24,48.204
250,SomeBananas,48.228
251,xlMaSoNlxaK47,48.247
252,Scroteroni,48.289
253,Mailman1765,48.297
254,Mayderic,48.305
255,ElipsionEx,48.307
256,"KIMI
llamamen",48.309
257,FischyFish,48.325
258,"SPLOB
Splobs",48.326
259,ronnielook,48.349
260,JohnStewart2012,48.352
261,"SKŶSP
MonkusGamer",48.372
262,"VIBE
SavageNite6",48.382
263,so_ICY_11,48.386
264,"HS
TheMaskedManiac",48.392
265,"CLOOB
Byaaahh",48.394
266,staplesss,48.418
267,leerussell50,48.424
268,tomperz,48.428
269,Nikolaj.Esper,48.459
270,jacobdedmon03,48.468
271,steezzzn,48.502
272,kylethepinapl,48.505
273,Mez.clap,48.508
274,QcThunder74,48.508
275,NeuxsTM,48.512
276,Kitsune_No_Kami,48.514
277,lanolessa,48.548
278,PraiseCookie,48.558
279,"VIBE
qirueKyMtaE",48.578
280,Primed-Plague,48.578
281,lukebro10,48.588
282,"VIBE
FelixMustachio",48.602
283,"VIBE
Rybot1432",48.611
284,MC_Vince8,48.619
285,lb.auguste,48.632
286,MR_DUCT1,48.655
287,dart5151,48.657
